Channel, Contact, Label,Voxel X,Voxel Y, Voxel Z, RAS X (mm), RAS Y, RAS Z,  MNI X(mm), MNI Y, MNI Z, Unwarped X (voxel), Unwarped Y, Unwarped Z
29,29,29. left_anterior_insula_depth 5,153.1,158.16,107.85,-26.46,22.23,-14.41,-28.02,11.3,-14.98,152.9,155.59,107.9
30,30,30. left_anterior_insula_depth 6,158.37,159.49,108.11,-31.73,23.56,-14.15,-33.44,12.09,-15.12,158.41,156.59,108.48
31,31,31. left_anterior_insula_depth 7,162.5,159.69,108.77,-35.86,23.75,-13.49,-37.63,11.98,-14.58,162.76,156.59,109.35
32,32,32. left_anterior_insula_depth 8,167.22,160.85,109.42,-40.58,24.92,-12.84,-42.51,12.74,-14.26,167.69,157.59,110.22
33,33,33. left_posterior_insula_depth 1,152.09,128.21,115.62,-25.45,-7.72,-6.65,-24.65,-15.32,-1.06,152.49,126.53,115.53
34,34,34. left_posterior_insula_depth 2,157.11,128.36,114.8,-30.47,-7.58,-7.46,-29.66,-15.83,-2.08,157.83,126.53,114.86
35,35,35. left_posterior_insula_depth 3,161.32,128.67,114.42,-34.68,-7.26,-7.85,-33.89,-16.02,-2.66,162.44,126.81,114.67
36,36,36. left_posterior_insula_depth 4,165.06,128.56,113.47,-38.42,-7.38,-8.8,-37.58,-16.67,-3.73,166.56,126.81,113.94
37,37,37. left_posterior_insula_depth 5,169.72,127.65,113.4,-43.08,-8.28,-8.86,-42.17,-17.99,-3.75,171.8,126.11,114.18
38,38,38. left_posterior_insula_depth 6,174.13,126.47,113.11,-47.49,-9.46,-9.16,-46.47,-19.59,-3.95,176.71,125.17,114.18
39,39,39. left_posterior_insula_depth 7,178.43,126.28,112.82,-51.79,-9.65,-9.45,-50.75,-20.25,-4.34,181.46,125.17,114.18
40,40,40. left_posterior_insula_depth 8,182.84,126.2,112.4,-56.2,-9.74,-9.87,-55.15,-20.84,-4.88,186.09,125.17,113.94
41,41,41. left_amygdala_depth 1,145.96,144.68,92.55,-19.32,8.74,-29.71,-18.86,-3.51,-28.09,145.61,144.22,92.72
42,42,42. left_amygdala_depth 2,150.15,144.91,92.22,-23.51,8.97,-30.04,-23.06,-3.77,-28.6,149.75,144.22,92.48
43,43,43. left_amygdala_depth 3,154.97,145.19,92.61,-28.33,9.25,-29.65,-27.94,-3.91,-28.38,154.63,144.22,92.97
44,44,44. left_amygdala_depth 4,159.22,145.38,92.97,-32.58,9.45,-29.29,-32.25,-4.08,-28.17,159.02,144.22,93.45
45,45,45. left_amygdala_depth 5,163.65,145.48,93.01,-37.01,9.55,-29.25,-36.7,-4.41,-28.27,163.66,144.22,93.7
46,46,46. left_amygdala_depth 6,172.65,144.32,94.28,-46.01,8.39,-27.99,-45.68,-6.15,-26.98,173.41,143.02,95.36
47,47,47. left_amygdala_depth 7,177.18,144.33,94.86,-50.53,8.4,-27.41,-50.25,-6.48,-26.51,178.29,143.02,96.14
48,48,48. left_amygdala_depth 8,181.53,145.39,95.66,-54.89,9.46,-26.61,-54.76,-5.76,-26,182.92,144.02,97.11
49,49,49. left_heschls_gyrus_depth 1,155.2,115.52,123.84,-28.56,-20.41,1.57,-27.01,-26.04,9.88,156.4,114.25,123.65
50,50,50. left_heschls_gyrus_depth 2,157.56,118.82,122.72,-30.92,-17.11,0.45,-29.62,-23.37,8,158.84,117.26,122.69
51,51,51. left_heschls_gyrus_depth 3,160.03,120.85,122.39,-33.39,-15.08,0.12,-32.27,-21.77,7.2,161.47,119.09,122.53
52,52,52. left_heschls_gyrus_depth 4,162.9,123.48,120.8,-36.26,-12.45,-1.46,-35.31,-19.87,4.95,164.5,121.6,121.12
53,53,53. left_heschls_gyrus_depth 5,165.48,126.78,121,-38.84,-9.15,-1.26,-38.21,-16.98,4.45,167.32,124.71,121.53
54,54,54. left_heschls_gyrus_depth 6,168.6,129.31,119.85,-41.96,-6.63,-2.42,-41.52,-15.13,2.67,170.77,127.27,120.61
55,55,55. left_heschls_gyrus_depth 7,170.93,133.09,118.38,-44.29,-2.84,-3.88,-44.13,-12.07,0.34,173.35,131.07,119.38
56,56,56. left_heschls_gyrus_depth 8,173.31,135.06,118.25,-46.67,-0.87,-4.02,-46.69,-10.48,-0.24,176.01,133.09,119.44
57,57,57. left_heschls_gyrus_depth 9,175.12,138.69,117.21,-48.48,2.75,-5.05,-48.78,-7.44,-2.08,177.85,136.64,118.53
